Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10n,C_0402_1005Metric,35.575,-19.1,-90.0,top
C2,1u,C_0603_1608Metric,25.731202,-15.518468,180.0,top
D1,5V,D_SOD-523,44.2,-21.5,0.0,top
F1,5V 3A,Fuse_0805_2012Metric,35.1,-21.525,180.0,top
FB1,60R@100MHz,L_0805_2012Metric,34.2,-18.7,-90.0,top
J1,USB_C_Receptacle_USB2.0,HRO-TYPE-C-31-M-12,41.1,-12.2,180.0,top
J2,78171-0004,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,29.531202,-19.468468,0.0,top
J3,78171-0002,Molex_Pico-EZmate_78171-0002_1x02-1MP_P1.20mm_Vertical,23.081202,-19.468468,0.0,top
R1,5k1,R_0402_1005Metric,20.6,-14.8,90.0,top
R2,5k1,R_0402_1005Metric,21.7,-14.8,90.0,top
U1,TPD4E05U06DQAR,USON-10_2.5x1.0mm_P0.5mm,33.231202,-15.018468,0.0,top
